周期,,,,部位,内容
每月,每季度,每半年,每1年,,
✔,,,,关节闷盖和装饰环,检查关节闷盖和装饰环是否损坏或变形，如有必要，可更换。
✔,,,,清扫本体,擦去污垢等，清除堆积的飞溅物、尘埃、粉尘、切削物等。
✔,,,,关节,检查各关节有无漏油现象，拖拽关节检查关节内是否有异响或卡顿。
✔,,,,制动器,确认在机器人下电状态下，机器人不掉落。
✔,,,,末端执行器,检查末端执行器安装螺栓是否有松动，安装是否正确。
✔,,,,基座,检查基座和安装面螺钉是否松动。
,✔,,,机器人连接线,检查机器人连接线的接头是否完好、连接良好，电缆是否严重磨损或弯曲。
✔,,,,制动器,确保机器人已断电并固定好，检查刹车盘和挡块是否损坏或变形。如需更换，请联系节卡技术服务人员。
,✔,,,编码器,按操作指导检查编码器有无异常，此检查需要CAN工具及伺服版本在R6189及以上，操作指导可联系节卡技术服务人员。
,,✔,,减速机,检查关节内减速器的磨损情况，机器人上使能且碰撞保护关闭时，所有关节应保持平稳，推动关节时关节不转动。
,,✔,,螺栓,检查关节之间及关节与管臂之间的连接螺栓，如果发生松动，请拧紧螺栓。
,,,✔,关节线缆,检查关节内电源线及通讯线状态，打开关节闷盖，拔下电源线及通讯线，测量每根线缆的电阻（≤0.5Ω）和关节外壳的电阻（开路状态）。
